date;activity
01/01/2020;Leave
02/01/2020;Leave
03/01/2020;Leave
04/01/2020;Leave
05/01/2020;Leave
06/01/2020;@ Office
07/01/2020;@ Office
08/01/2020;@ Office
09/01/2020;@ Office
10/01/2020;@ Office
11/01/2020;Week-end
12/01/2020;Week-end
13/01/2020;@ Office
14/01/2020;@ Office
15/01/2020;@ Office
16/01/2020;Sick Leave
17/01/2020;Sick Leave
18/01/2020;Week-end
19/01/2020;Week-end
20/01/2020;@ Office
21/01/2020;@ Office
22/01/2020;@ Office
23/01/2020;@ Office
24/01/2020;@ Office
25/01/2020;Week-end
26/01/2020;Week-end
27/01/2020;@ Office
28/01/2020;@ Office
29/01/2020;@ Office
30/01/2020;@ Office
31/01/2020;@ Office
01/02/2020;Week-end
02/02/2020;Week-end
03/02/2020;@ Office
04/02/2020;@ Office
05/02/2020;@ Office
06/02/2020;@ Office
07/02/2020;@ Office
08/02/2020;Week-end
09/02/2020;Week-end
10/02/2020;@ Office
11/02/2020;@ Office
12/02/2020;@ Office
13/02/2020;@ Office
14/02/2020;@ Office
15/02/2020;Week-end
16/02/2020;Week-end
17/02/2020;@ Office
18/02/2020;@ Office
19/02/2020;@ Office
20/02/2020;@ Office
21/02/2020;@ Office
22/02/2020;Week-end
23/02/2020;Week-end
24/02/2020;@ Office
25/02/2020;@ Office
26/02/2020;@ Office
27/02/2020;@ Office
28/02/2020;@ Office
29/02/2020;Week-end
01/03/2020;Week-end
02/03/2020;Leave
03/03/2020;@ Office
04/03/2020;@ Office
05/03/2020;@ Office
06/03/2020;@ Office
07/03/2020;Week-end
08/03/2020;Week-end
09/03/2020;@ Office
10/03/2020;@ Office
11/03/2020;@ Office
12/03/2020;@ Office
13/03/2020;@ Office
14/03/2020;Week-end
15/03/2020;Week-end
16/03/2020;Home Office
17/03/2020;Home Office
18/03/2020;Home Office
19/03/2020;Home Office
20/03/2020;Home Office
21/03/2020;Week-end
22/03/2020;Week-end
23/03/2020;Home Office
24/03/2020;Imposed leave
25/03/2020;Home Office
26/03/2020;Home Office
27/03/2020;Imposed leave
28/03/2020;Week-end
29/03/2020;Week-end
30/03/2020;Home Office
31/03/2020;Home Office
01/04/2020;Home Office
02/04/2020;Home Office
03/04/2020;Imposed leave
04/04/2020;Week-end
05/04/2020;Week-end
06/04/2020;Home Office
07/04/2020;Home Office
08/04/2020;Imposed leave
09/04/2020;Home Office
10/04/2020;Home Office
11/04/2020;Week-end
12/04/2020;Week-end
13/04/2020;Public holiday
14/04/2020;Imposed leave
15/04/2020;Imposed leave
16/04/2020;Home Office
17/04/2020;Imposed leave
18/04/2020;Week-end
19/04/2020;Week-end
20/04/2020;Imposed leave
21/04/2020;Imposed leave
22/04/2020;Imposed leave
23/04/2020;Home Office
24/04/2020;Home Office
25/04/2020;Week-end
26/04/2020;Week-end
27/04/2020;Home Office
28/04/2020;Home Office
29/04/2020;Home Office
30/04/2020;Home Office
01/05/2020;Public holiday
02/05/2020;Week-end
03/05/2020;Week-end
04/05/2020;Home Office
05/05/2020;Home Office
06/05/2020;@ Office
07/05/2020;@ Office
08/05/2020;Public holiday
09/05/2020;Week-end
10/05/2020;Week-end
11/05/2020;Home Office
12/05/2020;@ Office
13/05/2020;Home Office
14/05/2020;@ Office
15/05/2020;Home Office
16/05/2020;Week-end
17/05/2020;Week-end
18/05/2020;Home Office
19/05/2020;Home Office
20/05/2020;@ Office
21/05/2020;Public holiday
22/05/2020;Home Office
23/05/2020;Week-end
24/05/2020;Week-end
25/05/2020;Home Office
26/05/2020;Home Office
27/05/2020;Home Office
28/05/2020;Home Office
29/05/2020;@ Office
30/05/2020;Week-end
31/05/2020;Week-end
01/06/2020;Public holiday
02/06/2020;Home Office
03/06/2020;Home Office
04/06/2020;Home Office
05/06/2020;Home Office
06/06/2020;Week-end
07/06/2020;Week-end
08/06/2020;Home Office
09/06/2020;Home Office
10/06/2020;@ Office
11/06/2020;Home Office
12/06/2020;Home Office
13/06/2020;Week-end
14/06/2020;Week-end
15/06/2020;Home Office
16/06/2020;Home Office
17/06/2020;@ Office
18/06/2020;@ Office
19/06/2020;Home Office
20/06/2020;Week-end
21/06/2020;Week-end
22/06/2020;Home Office
23/06/2020;@ Office
24/06/2020;@ Office
25/06/2020;@ Office
26/06/2020;Home Office
27/06/2020;Week-end
28/06/2020;Week-end
29/06/2020;Home Office
30/06/2020;@ Office
01/07/2020;@ Office
02/07/2020;@ Office
03/07/2020;Home Office
04/07/2020;Week-end
05/07/2020;Week-end
06/07/2020;Home Office
07/07/2020;@ Office
08/07/2020;@ Office
09/07/2020;@ Office
10/07/2020;Home Office
11/07/2020;Week-end
12/07/2020;Week-end
13/07/2020;Leave
14/07/2020;Public holiday
15/07/2020;Leave
16/07/2020;Leave
17/07/2020;Leave
18/07/2020;Week-end
19/07/2020;Week-end
20/07/2020;@ Office
21/07/2020;@ Office
22/07/2020;@ Office
23/07/2020;@ Office
24/07/2020;@ Office
25/07/2020;Week-end
26/07/2020;Week-end
27/07/2020;@ Office
28/07/2020;@ Office
29/07/2020;@ Office
30/07/2020;@ Office
31/07/2020;@ Office
01/08/2020;Week-end
02/08/2020;Week-end
03/08/2020;Leave
04/08/2020;Leave
05/08/2020;Leave
06/08/2020;Leave
07/08/2020;Leave
08/08/2020;Week-end
09/08/2020;Week-end
10/08/2020;Leave
11/08/2020;Leave
12/08/2020;Leave
13/08/2020;Leave
14/08/2020;Leave
15/08/2020;Public holiday
16/08/2020;Week-end
17/08/2020;Leave
18/08/2020;Leave
19/08/2020;Leave
20/08/2020;Leave
21/08/2020;Leave
22/08/2020;Week-end
23/08/2020;Week-end
24/08/2020;@ Office
25/08/2020;@ Office
26/08/2020;@ Office
27/08/2020;@ Office
28/08/2020;@ Office
29/08/2020;Week-end
30/08/2020;Week-end
31/08/2020;@ Office
01/09/2020;@ Office
02/09/2020;@ Office
03/09/2020;@ Office
04/09/2020;@ Office
05/09/2020;Week-end
06/09/2020;Week-end
07/09/2020;@ Office
08/09/2020;@ Office
09/09/2020;@ Office
10/09/2020;@ Office
11/09/2020;@ Office
12/09/2020;Week-end
13/09/2020;Week-end
14/09/2020;@ Office
15/09/2020;@ Office
16/09/2020;@ Office
17/09/2020;@ Office
18/09/2020;@ Office
19/09/2020;Week-end
20/09/2020;Week-end
21/09/2020;@ Office
22/09/2020;@ Office
23/09/2020;@ Office
24/09/2020;@ Office
25/09/2020;@ Office
26/09/2020;Week-end
27/09/2020;Week-end
28/09/2020;@ Office
29/09/2020;@ Office
30/09/2020;@ Office
01/10/2020;@ Office
02/10/2020;@ Office
03/10/2020;Week-end
04/10/2020;Week-end
05/10/2020;@ Office
06/10/2020;@ Office
07/10/2020;@ Office
08/10/2020;@ Office
09/10/2020;@ Office
10/10/2020;Week-end
11/10/2020;Week-end
12/10/2020;@ Office
13/10/2020;@ Office
14/10/2020;@ Office
15/10/2020;@ Office
